"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update"
"Adam Grzesik,314395237,18.044,,262,WC 36,23,World Cup - Round I  Matchday 8,14/06/2024,88,3,1.5,3,3,5,4.5,4.5,1.5,3.0,3.0,5.0,4.5,4.0,12.05.2023 pomocnik (90'),Polska,12.05.2023"
"Adam Szpindor,324897707,16.105,,80,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,-1,-1,3,-1,7,-1.0,-1.0,-1.0,3.0,-1.0,7.0,12.05.2023 napastnik (90'),Polska,12.05.2023"
"Aleksander Znaniecki,314853317,18.058,U,248,WC 36,21,World Cup - Round I  Matchday 6,31/05/2024,88,1,2,5,5,5.5,5,4.5,2.0,5.0,5.0,5.5,5.0,4.5,12.05.2023 boczny_obronca (90'),Polska,12.05.2023"
"Andrzej Wisz,323684807,16.033,H,87,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,2.5,-1,4,3.5,4.5,-1.0,2.5,-1.0,3.0,3.5,4.5,04.05.2023 pomocnik (18'),Polska,12.05.2023"
"Faustyn Osiadacz,319646432,16.071,,150,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,1.5,3,3,4.5,4.5,5.5,1.5,3.0,3.0,4.5,4.5,-1.0,12.05.2023 bramkarz (90'),Polska,12.05.2023"
"Franciszek Bochenski,320281644,18.015,,164,WC 36,29,World Cup - Round II  Matchday 4,15/07/2024,88,8,-1,5.5,5,4,-1,4.5,-1.0,5.5,5.0,4.0,-1.0,4.0,22.03.2023 stoper (90'),Polska,12.05.2023"
"Jacek Kulecki,325728463,16.053,,69,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,4,2,1,1.5,1.5,-1,4.0,2.0,-1.0,1.5,1.5,-1.0,04.05.2023 boczny_obronca (120'),Polska,12.05.2023"
"Janusz Janczewski,319067621,16.084,,180,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,1.5,5.5,5,4,4,2.5,-1.0,5.5,5.0,4.0,4.0,2.5,26.04.2023 pomocnik (90'),Polska,12.05.2023"
"Maciej Kiedrzyn,325399551,15.104,,60,WC 37,34,World Cup - Round III  Matchday 3,21/03/2025,90,11,1,2.5,2.5,3.5,-1,4,1.0,2.5,2.5,3.5,-1.0,4.0,26.04.2023 boczny_obronca (90'),Polska,12.05.2023"
"Rafal Gogacz,315572051,17.060,U,242,WC 37,1,Friendly,20/09/2024,89,1,2,4,4,3.5,4,3.5,2.0,4.0,4.0,3.5,3.5,-1.0,12.05.2023 boczny_obronca (90'),Polska,12.05.2023"
"Roman Iwan,313099633,18.001,,234,WC 36,31,World Cup - Round II  Matchday 6,26/07/2024,88,9,1.5,-1,4,3.5,5,4.5,1.5,-1.0,-1.0,-1.0,4.5,4.5,19.04.2023 bramkarz (90'),Polska,12.05.2023"
"Tadeusz Drwal,320444148,16.087,U,116,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,-1,2.5,-1,2.5,3,5,-1.0,2.5,-1.0,2.5,3.0,5.0,13.04.2023 napastnik (90'),Polska,12.05.2023"
"W. Guja,475890723,17.036,T,-2,WC 37,6,Continental Championship  Matchday 4,14/10/2024,89,5,-1,3.5,3.5,4.5,5.5,6.5,-1.0,3.5,3.5,4.5,5.0,-1.0,-----,Polska,21.04.2023"
"Zbigniew Majgier,322180771,16.106,,129,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,2,3.5,3.5,4,4,3.5,2.0,3.5,3.5,4.0,4.0,3.5,12.05.2023 pomocnik (90'),Polska,12.05.2023"
"Tomasz Czechowski,327202591,15.076,,31,WC 37,40,World Cup - Round V  Matchday 3,18/04/2025,90,15,-1,-1,-1,2.5,-1,5.5,-1.0,-1.0,-1.0,2.5,-1.0,5.5,26.04.2023 pomocnik (90'),Polska,12.05.2023"
"Dawid Misiag,325289651,15.093,,24,WC 37,36,World Cup - Round IV  Matchday 2,31/03/2025,90,13,-1,-1,-1,-1,-1,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,12.05.2023 napastnik (90'),Polska,12.05.2023"
"Roman Szlachcic,324904085,16.001,U,17,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,4.5,-1,4,4,3.5,-1.0,4.5,-1.0,4.0,4.0,3.5,12.05.2023 skrzydlowy (90'),Polska,12.05.2023"
"Juliusz Szymas,325508430,16.013,,13,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,-1,-1,-1,-1,6,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,12.05.2023 napastnik (90'),Polska,12.05.2023"
"Mariusz Czaplak,325463965,15.084,,3,WC 37,37,World Cup - Round IV  Matchday 3,04/04/2025,90,13,-1,-1,-1,3.5,4.5,-1,-1.0,-1.0,-1.0,-1.0,4.5,-1.0,12.05.2023 skrzydlowy (90'),Polska,12.05.2023"
