"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update"
"Albin Kaleja,319065028,17.094,,136,WC 36,40,World Cup - Round V  Matchday 3,06/09/2024,88,15,-1,4.5,-1,-1,-1,-1,-1.0,4.5,5.0,-1.0,-1.0,-1.0,27.03.2023 stoper (90'),Polska,31.05.2023"
"Antoni Uchto,321264948,17.085,,112,WC 37,,Final,,,,1,-1,-1,-1,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.03.2023 bramkarz (90'),Polska,31.05.2023"
"Artur Fulat,324092147,16.068,,106,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,-1,-1,-1,4.5,-1,-1.0,-1.0,-1.0,-1.0,4.5,5.0,29.05.2023 skrzydlowy (90'),Polska,31.05.2023"
"Dariusz Sasala,322870276,16.034,T,122,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,-1,-1,3.5,-1,-1,-1.0,-1.0,-1.0,3.5,5.0,-1.0,29.05.2023 pomocnik (90'),Polska,31.05.2023"
"Filip Czerner,325970878,16.071,Q,50,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,-1,-1,5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,29.05.2023 pomocnik (90'),Polska,31.05.2023"
"Henryk Zawadzki,324517219,16.048,,77,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,-1,4,-1,-1,-1,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,29.05.2023 boczny_obronca (90'),Polska,31.05.2023"
"Jakub Golebski,320134573,17.082,,143,WC 37,,Final,,,,-1,-1,-1,-1,6,-1,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,27.03.2023 skrzydlowy (90'),Polska,31.05.2023"
"Kasper Bobiak,323730878,16.068,,71,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,-1,-1,4.5,-1,-1,-1.0,-1.0,-1.0,4.5,5.0,-1.0,29.05.2023 pomocnik (90'),Polska,31.05.2023"
"Konrad Czywkin,320670522,17.030,,164,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,-1,-1,-1,6,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,29.05.2023 napastnik (90'),Polska,31.05.2023"
"Maik Pollmann,326221516,15.094,H,58,WC 37,40,World Cup - Round V  Matchday 3,18/04/2025,90,15,-1,4.5,-1,-1,-1,-1,-1.0,4.5,5.0,-1.0,-1.0,-1.0,29.05.2023 stoper (90'),Polska,31.05.2023"
"Marek Brokula,323852556,17.016,H,60,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,-1,-1,-1,-1,6,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,29.05.2023 napastnik (90'),Polska,31.05.2023"
"Marek Kulawiec,324189652,17.024,,101,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,1.5,-1,-1,3.5,-1,-1,1.5,5.0,-1.0,3.5,3.0,5.0,24.04.2023 bramkarz (90'),Polska,31.05.2023"
