Country,day,hour,attempt
"Kenya,niedziela,12:00,1"
"Kenya,niedziela,08:07,1"
"Kenya,niedziela,17:09,1"
"Kenya,niedziela,15:24,1"
"Kenya,niedziela,08:38,1"
"Kenya,niedziela,08:20,1"
"Kenya,sroda,06:30,4"
"Kenya,niedziela,04:42,3"
"Kenya,niedziela,08:42,2"
"Kenya,niedziela,12:35,1"
"Kenya,niedziela,08:10,1"
"Kenya,piatek,09:45,1"
"Kenya,wtorek,10:04,1"
"Kenya,piatek,19:51,3"
"Kenya,sobota,11:18,2"
"Kenya,niedziela,05:25,1"
"Kenya,poniedzialek,10:12,2"
"Kenya,piatek,14:04,1"
"Kenya,niedziela,11:20,1"
"Kenya,poniedzialek,11:25,2"
"Kenya,niedziela,09:49,1"
"Kenya,niedziela,17:23,1"
"Kenya,sobota,10:04,1"
"Kenya,niedziela,09:33,1"
"Kenya,poniedzialek,04:47,1"
"Kenya,niedziela,17:40,1"
"Kenya,sroda,07:02,1"
"Kenya,wtorek,21:07,1"
"Kenya,wtorek,21:07,1"
"Kenya,niedziela,09:49,1"
"Kenya,sroda,12:18,1"
"Kenya,niedziela,09:53,1"
"Kenya,poniedzialek,05:08,1"
"Kenya,sobota,12:07,1"
"Kenya,czwartek,08:32,1"
"Kenya,niedziela,15:37,1"
"Kenya,poniedzialek,14:17,1"
"Kenya,piatek,20:38,1"
"Kenya,sobota,09:48,1"
"Kenya,piatek,08:52,1"
"Kenya,niedziela,09:53,1"
"Kenya,niedziela,11:51,1"
"Kenya,sroda,10:07,3"
"Kenya,poniedzialek,12:09,2"
"Kenya,niedziela,08:27,1"
"Kenya,wtorek,12:21,3"
"Kenya,niedziela,02:05,2"
"Kenya,piatek,14:46,1"
"Kenya,sroda,23:41,1"
"Kenya,wtorek,21:47,1"
"Kenya,sobota,05:27,1"
"Kenya,niedziela,08:34,1"
"Kenya,niedziela,01:54,3"
"Kenya,niedziela,11:44,2"
"Kenya,piatek,10:39,1"
"Kenya,niedziela,09:35,1"
"Kenya,niedziela,11:20,2"
"Kenya,niedziela,15:10,1"
"Kenya,niedziela,12:48,1"
"Kenya,niedziela,14:02,1"
"Kenya,czwartek,23:46,2"
"Kenya,niedziela,01:48,1"
"Kenya,niedziela,21:32,2"
"Kenya,niedziela,07:57,1"
"Kenya,niedziela,01:53,1"
"Kenya,niedziela,07:07,1"
"Kenya,niedziela,10:48,1"
"Kenya,sroda,12:21,1"
"Kenya,sobota,10:10,1"
"Kenya,niedziela,14:16,1"
"Kenya,niedziela,02:38,1"
"Kenya,niedziela,09:47,2"
"Kenya,sobota,09:37,1"
"Kenya,niedziela,06:57,1"
"Kenya,niedziela,07:54,1"
"Polska,poniedzialek,07:17,1"
"Polska,niedziela,07:44,1"
"Polska,niedziela,08:09,1"
"Polska,czwartek,08:59,1"
"Polska,niedziela,07:35,4"
"Polska,poniedzialek,17:08,3"
"Polska,poniedzialek,06:44,2"
"Polska,niedziela,12:05,1"
"Polska,niedziela,03:05,2"
"Polska,poniedzialek,07:47,1"
"Polska,niedziela,10:36,1"
"Polska,niedziela,13:30,1"
"Polska,niedziela,08:40,2"
"Polska,piatek,03:31,1"
"Polska,niedziela,08:42,1"
"Polska,niedziela,01:24,1"
"Polska,niedziela,17:24,1"
"Polska,niedziela,07:29,1"
"Polska,niedziela,20:36,1"
"Polska,sroda,06:37,1"
"Polska,poniedzialek,11:11,1"
"Polska,niedziela,02:53,1"
"Polska,niedziela,08:31,1"
"Polska,niedziela,08:03,1"
"Polska,niedziela,09:51,1"
"Polska,niedziela,08:53,1"
"Polska,wtorek,09:06,1"
"Polska,czwartek,10:01,2"
"Polska,niedziela,06:16,1"
"Polska,sobota,20:49,1"
"Polska,niedziela,08:34,2"
"Polska,niedziela,00:47,1"
"Polska,niedziela,08:55,1"
"Polska,wtorek,14:25,1"
"Polska,piatek,15:43,1"
"Polska,poniedzialek,08:24,2"
"Polska,niedziela,10:40,1"
"Polska,niedziela,16:21,1"
"Polska,niedziela,00:47,1"
"Polska,niedziela,12:24,1"
"Polska,niedziela,08:17,1"
"Polska,niedziela,09:05,1"
"Polska,niedziela,09:10,2"
"Polska,niedziela,11:10,1"
"Polska,niedziela,09:00,3"
"Polska,niedziela,08:29,2"
"Polska,niedziela,12:32,1"
"Polska,niedziela,10:25,1"
"Polska,niedziela,06:29,2"
"Polska,wtorek,06:44,1"
"Polska,niedziela,01:48,1"
"Polska,niedziela,05:33,1"
"Polska,niedziela,10:04,1"
"Polska,poniedzialek,07:58,1"
"Polska,niedziela,08:01,1"
"Polska,niedziela,15:13,1"
"Polska,niedziela,08:56,1"
"Polska,poniedzialek,20:49,1"
"Polska,niedziela,10:53,1"
"Polska,poniedzialek,11:32,2"
"Polska,niedziela,05:41,1"
"Polska,niedziela,03:20,1"
"Polska,niedziela,02:28,1"
"Polska,niedziela,08:25,1"
"Polska,niedziela,06:53,2"
"Polska,niedziela,17:31,1"
"Polska,niedziela,08:43,1"
"Polska,sroda,11:22,2"
"Polska,niedziela,10:10,1"
"Polska,niedziela,13:55,1"
"Polska,niedziela,07:27,1"
"Polska,niedziela,08:27,1"
"Polska,wtorek,07:59,1"
"Polska,niedziela,17:23,1"
"Polska,niedziela,22:18,1"
"Polska,niedziela,05:55,1"
"Polska,poniedzialek,09:40,1"
"Polska,poniedzialek,23:18,1"
