"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update"
Antoni Borecki,320411062,16.094,,137,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,5.5,2,-1,-1,-1,-1,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,14.04.2023 bramkarz (90'),Polska,17.04.2023
Jozef Polom,318886413,16.072,,73,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,5,5,4,4,4.5,-1.0,5.0,5.0,-1.0,-1.0,4.5,14.04.2023 boczny_obronca (90'),Polska,17.04.2023
Kasjusz Polny,320520826,16.093,T,115,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,2,-1,4.5,4.5,5,5.5,2.0,-1.0,-1.0,4.5,-1.0,-1.0,19.03.2023 pomocnik (90'),Polska,17.04.2023
Fryderyk Pacan,326172538,16.023,,32,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,2.5,-1,3.5,-1,-1,-1.0,2.5,-1.0,3.5,-1.0,-1.0,14.04.2023 stoper (90'),Polska,17.04.2023
Zbigniew Winkler,325604683,15.061,P,48,WC 37,37,World Cup - Round IV  Matchday 3,04/04/2025,90,13,-1,2,2.5,3.5,3.5,-1,-1.0,-1.0,2.5,3.5,3.5,-1.0,14.04.2023 skrzydlowy (90'),Polska,17.04.2023
Otto Stelmachowski,321838042,16.020,H,64,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,3,4,4,5,4,-1.0,-1.0,-1.0,4.0,5.0,4.0,14.04.2023 pomocnik (90'),Polska,17.04.2023
Jedrzej Golaszewski,320843771,16.052,,13,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,5,5.5,-1,-1,-1,-1.0,5.0,5.5,-1.0,-1.0,-1.0,14.04.2023 stoper (90'),Polska,17.04.2023
Jan Penc,322939376,16.026,,58,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,4,4,-1,4.5,6,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,07.04.2023 napastnik (90'),Polska,17.04.2023
Gabriel Wrebiak,325044295,16.089,,38,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,3,3,4.5,4,-1,-1.0,-1.0,3.0,-1.0,4.0,-1.0,07.04.2023 boczny_obronca (90'),Polska,17.04.2023
Aleksander Danik,320220791,16.053,P,102,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,0.5,-1,3,4.5,4,3.5,-1.0,-1.0,-1.0,4.5,-1.0,-1.0,14.04.2023 pomocnik (90'),Polska,17.04.2023
Przemyslaw Malczewski,318807002,16.089,,93,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,3,3.5,4,4,4.5,-1.0,3.0,3.5,4.0,4.0,4.5,24.03.2023 napastnik (90'),Polska,17.04.2023
Patryk Bogacki,323056051,16.060,T,87,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,2,-1,4,5,4,4,2.0,-1.0,4.0,-1.0,4.0,4.0,05.04.2023 pomocnik (3'),Polska,17.04.2023
Piotr Wardecki,325604486,15.104,,25,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,-1,3,3,-1,4,-1.0,-1.0,-1.0,3.0,-1.0,4.0,14.04.2023 pomocnik (90'),Polska,17.04.2023
Jacenty Podstawka,326338617,15.047,,18,WC 37,41,World Cup - Semifinals,21/04/2025,90,16,-1,2,-1,3,-1,-1,-1.0,2.0,-1.0,3.0,-1.0,-1.0,14.04.2023 stoper (90'),Polska,17.04.2023
Marcin Proniewski,328317257,15.077,,5,WC 37,34,World Cup - Round III  Matchday 3,21/03/2025,90,11,-1,-1,-1,-1,4,-1,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,14.04.2023 skrzydlowy (90'),Polska,17.04.2023
