
"Arkadiusz Nowowiejski,302130665,19.042,H,417,WC 36,2,Friendly,16/02/2024,87,2,-1,-1,7,-1,-1,4,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,17.03.2023 boczny_obronca (90'),Polska,05.05.2023"
"August Kilarski,316818320,17.004,,213,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,-1,6,-1,-1,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,28.04.2023 pomocnik (90'),Polska,05.05.2023"
"Boleslaw Borsuk,320629418,17.030,,66,WC 37,6,Continental Championship  Matchday 4,14/10/2024,89,5,-1,-1,-1,-1,-1,5,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,28.04.2023 napastnik (90'),Polska,05.05.2023"
"Bronislaw Warda,309101970,18.076,U,350,WC 36,18,World Cup - Round I  Matchday 3,10/05/2024,87,14,2.5,4.5,-1,-1,-1,-1,-1.0,4.5,-1.0,-1.0,-1.0,-1.0,28.04.2023 stoper (90'),Polska,05.05.2023"
"Franciszek Bezwerchny,311917669,19.037,T,294,WC 36,4,Continental Championship  Matchday 2,26/02/2024,87,4,-1,-1,-1,5,-1,6.5,-1.0,-1.0,-1.0,-1.0,-1.0,6.5,24.03.2023 napastnik (90'),Polska,05.05.2023"
"Grzegorz Nowatkowski,319411254,17.077,,171,WC 36,37,World Cup - Round IV  Matchday 3,23/08/2024,88,13,-1,-1,-1,-1,-1,7,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,28.04.2023 napastnik (90'),Polska,05.05.2023"
"Kamil Prusik,301394173,19.092,,437,WC 36,,Final,,,,-1,5,-1,-1,4,-1,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,27.01.2023 stoper (90'),Polska,05.05.2023"
"Krzysztof Leszkiewicz,314577274,18.097,,232,WC 36,13,Continental Championship - Quarterfinals,19/04/2024,87,11,-1,-1,-1,-1,7,-1,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,28.04.2023 skrzydlowy (90'),Polska,05.05.2023"
"Lutomysl Tyrakowski,319219740,17.065,,88,WC 36,41,World Cup - Semifinals,09/09/2024,88,16,-1,-1,4,-1,-1,-1,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,28.04.2023 boczny_obronca (90'),Polska,05.05.2023"
"Maciej Jablonka,309960752,18.096,,226,WC 36,13,Continental Championship - Quarterfinals,19/04/2024,87,11,4.5,-1,-1,1,-1,-1,4.5,-1.0,-1.0,1.0,-1.0,-1.0,28.04.2023 pomocnik (90'),Polska,05.05.2023"
"Mateusz Skoczen,310374012,18.001,,301,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,-1,-1,6,-1,-1,-1,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,28.04.2023 boczny_obronca (90'),Polska,05.05.2023"
"Patryk Jodelka,314878109,17.050,,141,WC 37,1,Friendly,20/09/2024,89,1,-1,2,-1,-1,-1,-1,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,28.04.2023 stoper (90'),Polska,05.05.2023"
"Roman Taczynski,303343742,19.007,,409,WC 36,9,Continental Championship  Matchday 7,22/03/2024,87,7,-1,-1,-1,6,-1,-1,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,21.04.2023 pomocnik (90'),Polska,05.05.2023"
